Date,B3SA3,BBDC4,ITUB4,PETR4,VALE3,^BVSP
2008-07-28,11.609145164489746,11.685321807861328,8.094877243041992,17.49375343322754,22.735254287719727,56869.0
2008-07-29,11.627758979797363,11.685321807861328,8.376664161682129,17.468650817871094,23.2830867767334,58043.0
2008-07-30,12.09311580657959,,8.555977821350098,18.322006225585938,24.859420776367188,59998.0
2008-07-31,12.279263496398926,,8.581596374511719,18.020822525024414,24.46662139892578,59505.0
2008-08-01,11.602936744689941,,8.415083885192871,17.323078155517578,22.941978454589844,57630.0
2008-08-04,10.498492240905762,11.68807601928711,8.14610767364502,16.50988006591797,21.288131713867188,55609.0
2008-08-05,10.672228813171387,11.68807601928711,8.504742622375488,16.163524627685547,21.51554298400879,56471.0
2008-08-06,10.76529598236084,,8.661005020141602,16.71569061279297,21.81012725830078,57542.0
2008-08-07,10.572946548461914,,8.504742622375488,16.99679946899414,21.913494110107422,57018.0
2008-08-08,10.48608112335205,,8.379220962524414,16.841182708740234,21.546546936035156,56584.0
2008-08-11,10.113790512084961,,8.181976318359375,16.414508819580078,20.750635147094727,54720.0
2008-08-12,9.462287902832031,,8.107683181762695,16.600236892700195,20.631759643554688,54503.0
2008-08-13,9.183075904846191,,7.9462995529174805,16.941577911376953,21.577564239501953,54573.0
2008-08-14,9.269942283630371,,8.14610767364502,16.785964965820312,21.81012725830078,55138.0
2008-08-15,8.941089630126953,,8.018027305603027,16.399446487426758,21.396665573120117,54244.0
2008-08-18,8.841812133789062,10.739407539367676,7.782355785369873,15.902494430541992,20.921188354492188,53327.0
2008-08-19,9.542951583862305,10.680792808532715,7.746492862701416,16.379371643066406,21.241613388061523,53639.0
2008-08-20,7.346460342407227,10.970169067382812,8.069263458251953,17.172489166259766,22.40964698791504,55377.0
2008-08-21,7.116886615753174,11.058072090148926,8.010343551635742,17.764814376831055,22.843788146972656,55935.0
2008-08-22,7.123085021972656,11.124000549316406,8.082072257995605,17.714616775512695,22.471668243408203,55850.0
2008-08-25,6.955558776855469,10.874931335449219,7.82589864730835,16.971698760986328,21.789453506469727,54477.0
2008-08-26,6.871198654174805,10.651501655578613,7.736248016357422,17.16244888305664,21.81012725830078,54359.0
2008-08-27,7.5365519523620605,10.896905899047852,7.820774555206299,17.66944122314453,22.523351669311523,55519.0
2008-08-28,7.772848129272461,11.16064167022705,8.107683181762695,17.744731903076172,22.637052536010742,56382.0
2008-08-29,7.735537528991699,10.970169067382812,7.877140045166016,17.518848419189453,22.466503143310547,55680.0
2008-09-01,7.990488529205322,10.805338859558105,7.802850246429443,17.172489166259766,22.11505889892578,55162.0
2008-09-02,7.7479753494262695,11.097532272338867,7.889941692352295,16.620317459106445,21.603397369384766,54404.0
2008-09-03,7.39975118637085,11.174473762512207,7.974481582641602,16.364309310913086,21.50003433227539,53527.0
2008-09-04,6.5602850914001465,10.914341926574707,7.710629940032959,15.787041664123535,20.84882926940918,51409.0
2008-09-05,6.715738773345947,11.082871437072754,7.8617658615112305,15.992849349975586,21.081403732299805,51940.0
2008-09-08,6.323989391326904,11.321017265319824,7.941173076629639,15.18969440460205,20.316495895385742,50718.0
2008-09-09,6.025509834289551,10.899688720703125,7.710629940032959,14.230925559997559,19.308683395385742,48435.0
2008-09-10,5.770561218261719,10.918007850646973,7.800281524658203,14.396575927734375,20.440534591674805,49633.0
2008-09-11,5.44099235534668,10.899688720703125,7.902756214141846,15.761943817138672,21.50003433227539,51270.0
2008-09-12,6.069039821624756,10.987618446350098,7.915562629699707,16.565099716186523,22.047866821289062,52393.0
2008-09-15,5.223353385925293,10.218229293823242,7.3904218673706055,14.95878791809082,20.10460090637207,48416.0
2008-09-16,5.036805152893066,10.221890449523926,7.508253574371338,15.711748123168945,20.62142562866211,49229.0
2008-09-17,4.875129222869873,9.701635360717773,7.090708255767822,14.95878791809082,19.174306869506836,45909.0
